transacao_id,transacao_valor,morador_id,imovel_id,data_transacao
8f061d770c1042f38b3c72ef2ca71718,631,830c95d785224999a906943fef137c48,e874ce8c1fd04eb88f61b1d47c313eb6,2008-01-01 13:30:00
c70b1aba00a84306bfb313c53cceb867,3147,2469aed4ee334f3da0e0b96afcc2c81a,941aa33c659a4df593040ed028c60dca,2008-01-01 13:30:00
cccdcda0a6884c8b9523e78423eb3944,4140,f407850a67524ce7aaa8bab848e84903,870e0a08df79420699bc64d1df0523f3,2008-01-01 13:30:00
72443c7266044953a440a99d5451c34b,3272,6a61ee7b54c947ef820633ead6a3957a,8d814f226de84bb5a71794dc2cffaf56,2008-01-01 13:30:00
1006ac140e914b6faa9829bec325a1f5,4695,0270bfdb150e4321973a53bd1ef5569c,5570602122034f0eaa0860c2460e1803,2008-01-01 13:30:00
f18684776c5540d8a908342fdf9657b7,4702,1c2b0b1d81e44b74b4ef2c16c254d478,4593ed49b5ea41cab2414061926b43bf,2008-01-01 13:30:00
5bb656c0b3f1423f85a68bc0d79b968f,3159,475c9a7ac5fb4c3f98a6c786de7b488e,7c4f5f721ea843f88667030d5b5138ae,2008-01-01 13:30:00
525773cb349c4568975b62f2ba6ae4a8,2504,5472c92864c14240a835bb355a54b587,2d44be45222943cdbd3fb4439acaf2c3,2008-01-01 13:30:00
0ca02d8c3d7e4584b5a6e2bf37799f6b,709,abb30ec2560f4efabe6140e99ba33797,03ab710280c94fe5a5aab4d536e8f950,2008-01-01 13:30:00
f8fc01636f44442cbaadd03c1647ab53,2895,7d88c45efb6149bdaff61a6a4d118f23,832d6efc29664aa1a579c2423dda43fb,2008-01-01 13:30:00
47f372e242a54f829fc8f08c2c7254b0,2310,dd987c45be5f409d932a94d71061f0ff,7d77fab8990c4f119c785e2576ff9e7a,2008-01-01 13:30:00
42626e9b9ab54089b32845d4a95f8cac,4919,30b75fcf13b849218b7dccceea4d34f1,feeb6abedf67424baac1ba779cf4761e,2008-01-01 13:30:00
7a8a4f5bf2424d569e7258b44665f011,829,ad4a4888250e4240ad399dc024182810,ce21d8c5317f469ba6c471966e5cbf43,2008-01-01 13:30:00
285ff594e7eb449cbbb16e9ebf572c98,2484,a4f6efae310d4919ac73f55a13f14db2,b500776d2dcd4ee28feb6f6614913c3a,2008-01-01 13:30:00
13a24f8a049d4608962af1ed50f78ae6,2726,a052c8ae9f6a49aeb166603471a3a345,f17d9d7fde29422d85b8ba7fabce52c5,2008-01-01 13:30:00
47d2303df5094eb4b9c8537cce13226d,1639,52c3d6ba85ce41c8baab3b325080abbb,6ea6b4bf06a949a5a04b1242d1250687,2008-01-01 13:30:00
76a29da9e1f3484682578080877918ae,4671,f60fb58daecf454e9978855d93296dba,8e4214d2c39849a78100a9d25a01672b,2008-01-01 13:30:00
0fb7c46a90984018b2670c4ceafea775,1249,320a565b156942819d0d5f1b6aeefcd1,5242645ad2a947918d89e4eeb0774c51,2008-01-01 13:30:00
1956f89a115c4818ba11069df3544f6c,2710,e12033dbd6da4680997139c1c507bed7,2b03884468914897b949b963ff4d2d17,2008-01-01 13:30:00
5e71a4466f7e429581472ad2150cf3a0,2209,e23575d2bfc84e85ad2bc06e7b381588,b7505cf073e24b4c92fce1c5f1eec10a,2008-01-01 13:30:00
0693d9f1af084dfc8e24022ad2c4781b,1654,df1c907b625749b58767cd70c28425f2,365c6be0633241e9a2a4a7e34c1fe006,2008-01-01 13:30:00
d03985a5de7b4ad098eed4b699ca07b6,3436,4edd51e847ef40d8b340d55619657f27,b43f9d03d3fc4ac48696d5fb630a6279,2008-01-01 13:30:00
dd39215772b74fb0921e40ebe50f1634,3240,b0301f9837644b9d8a7a2108243f42b1,857f345bd4c5401eabc3070038b32659,2008-01-01 13:30:00
d0081482e45840ce9c0e94dfe4817147,4978,c0828ccf73984e029c1b4d5df979785a,03db71c497294ba99e0f15820513705f,2008-01-01 13:30:00
1981a013b3a1449380555f73c9965f06,1963,34bc088981f1459f89b2c10e96c787ee,c4dc56b6393049158b0f94978d2f3c05,2008-01-01 13:30:00
bfca143deed64640a1f85cdb5c2397e8,2097,5b3a5a8031814b0a875ed38fea24894d,99e3fd19dfed4080bc7b9e59a4c5b233,2008-01-01 13:30:00
7300a20d19bc4017a97cd54b66fb41f5,1410,189ab654ed7d47ee891987c01308c40a,254590cafe734d999552fcd2a558484f,2008-01-01 13:30:00
a50c87318ee545a6b594f7096951d6e0,4265,8e2a0644c05e49e9a52ec5a62f2e8464,5d59924c13e64ef9b24ec52741853de8,2008-01-01 13:30:00
b31c35cdeca24bba842df392966edebf,4915,1bed15ae88cd418c91587ba1de68a9b7,385230ef16304ff0b30eb519fa3276c4,2008-01-01 13:30:00
3a97abb8ad6e4fe4ac82fd5088b05542,3419,85a74dad3c0e40bbaf2d16780f6cd935,a160ac8fb5bb4d89ac6c21d4787c44a6,2008-01-01 13:30:00
8a127b1618604d3f8494554779959d13,3516,e1a8426fd851450887c27d1194f398d4,c20d091a4b6c40bd87d037d53e37e696,2008-01-01 13:30:00
06ebd0ff70124c4ab186c917e2b45eb9,4786,69f0fbf9a31c4b1c94e54487fe337c5c,b2a24772d65f45b685f2a0cae2864f37,2008-01-01 13:30:00
0800d781cdbd4bedbddb7a5137c24777,2665,0e3267c35f8c499c8016d3ed86ee3ecc,55f96d9e38c34d498547394f69c5f608,2008-01-01 13:30:00
faa10362a0734b11a60d6e048a71daac,3140,d5a816a7832c4c8f995f5e03017c67ea,082116a65f594aeeb745dbefb33c64ce,2008-01-01 13:30:00
8c6ed5b0c4964f039052318aa081679a,1701,e74b6f03671a47ed8d7d669c008bfc5d,398a464a58e3477694b6892b25dd3317,2008-01-01 13:30:00
1e9fafac39cd4d1a8fad7cb2abc8bbdb,4914,7517c7acccde436a96619c70473cceeb,7a38a211991848c38b2e99e5baa299a8,2008-01-01 13:30:00
51735f09928a4edbb93525c9b713fe98,1346,081fc64750564b6fba468ca617831b85,2937202a305a4df4aa4339332db53211,2008-01-01 13:30:00
99e6629881b648c0a0d6c4b288259476,2209,b05018cb3ca345d690e14dbc59967871,2251b5171db24c7c8b87083996c1a3e3,2008-01-01 13:30:00
e9626459b3ac40379ab8fc591e6093ad,3439,7a540b9630e841b7873f34df04b71817,cea54a2833184c978aa172138f790a19,2008-01-01 13:30:00
0ad0c3139c3f41288d7831f36a1f5fb1,3782,7307b4ea333848018c533087ad3d06b2,8ae98d0ff8a448f1903fb4dce6289711,2008-01-01 13:30:00
554f40af0a19490697428f21c2dbc4c0,3131,fce7414ad13c487cbf8a64f6bd9cae4b,761339a5a7ae449a919da5dea5df8034,2008-01-01 13:30:00
2c0e00cc687e47049b68fbc864c615ce,1620,cc157d3cccfe4199ba9e6e4ad4629494,65b1e8f18b2a46ee9011ec9225217ef9,2008-01-01 13:30:00
