condominio_id,condominio_nome,condominio_endereco
413a08de45974ae59fd634cd87e707d3,Luxe Summit Residences,Jardim Nélson Ribeiro N. 427
6f138fd25f5f4ad48f61964e79a78b6f,Sítio Aurora,R. Júlia Cunha N. 404
7c239425952242f4beef26f3b6482350,Terra do Pôr do Sol,Via José Nunes N. 547
87fe5c8b16ab4e4e9d7f34fa1e96e194,Recanto das Oliveiras,Al. Tomé Carvalho N. 770
22c3d2d955ce4a27b7b0b2c332da5af1,Vila Rural das Flores,Sítio Manuel Teixeira N. 409
b0a3f774202f4bce86d8fe02e29fce0e,Terra Verde Rural,Sítio Daniel Silva N. 81
954733adc1c4486994954108acd4eb2f,Elysian Gardens Estates,Cond. Vítor Raposo N. 477
2553fc8f63f6496280f5dce9c1fedd9d,Chácara Primavera Viva,Trevo  Leonardo Moreira N. 36
a261685f2fbc4a4684963678cfcc6785,Mansões Aurora,Quadra Camila Marques N. 401
14b71853cd114f23888a49ceef9bbb3f,Azure Splendor Villas,Sítio Leonardo Moreira N. 549
2ca21b52c3b443c997b92af86f0766ab,Opulent Oasis Villas,Estr. Bárbara Figueiredo N. 498
4382c05756234c03999739fa083bbb31,Terra da Harmonia Campestre,Estaçao Diogo Rodrigues N. 517
61763ab29b6041fb8dfb775205e2cf78,,Estr. Gustavo Ferreira N. 975
6cd762db605a45aa85732e923eeea8f5,Vila dos Bosques,Av. Bárbara Antunes N. 489
cd317b3c068f467c9279317b815c5b84,Sítio Aurora Rural,Condominio Jaime Raposo N. 121
ecf621ef88464066a86990d415e33860,Vale das Flores,Jardim Filipe Teixeira N. 897
d11e3f1dbb2845538d80c90935b0e973,Vale Tranquilo,Estreito Guilherme Antunes N. 996
364002b42cc840a0ab960036a2e1700b,Vila Caminho Verde,Trecho Nicolau Vieira N. 728
27dfcedc415c456eb1639f2f4dbded4e,Imperial Crest Residences,Estaçao Diogo Antunes N. 192
0aa00fa71e1b4aaca02da3ab379c4a7e,Chácara Harmonia,Altura Vítor Rocha N. 899
8fc50434528c4ea0bbcda94a43f9f7eb,Terra dos Céus Abertos,Al. Roberto Vieira N. 800
b45700526e1349978482fe83b2ebc953,Cantinho da Natureza,Alameda Daniel Antunes N. 377
10b91d15fb524f9186fbbffaf99730ee,Recanto das Oliveiras,Distrito Manuel Tavares N. 932
1241dbb0446843a1832e99982acd618c,Caminho dos Pinheiros,Ladeira Fábio Raposo N. 941
573f60c6fb044df987ef734d6ad2aaa4,Majestic Vista Villas,Estreito Guilherme Figueiredo N. 516
b3df36284b5242ac824e6fde6f100186,Recanto Verde Rural,Via Fábio Carvalho N. 321
90f17369dd744536babeb3caebcc12fe,Royal Crest Enclave,Colonia Henrique Fonseca N. 763
267f78d61a734606b74cff6bd59169c6,EcoVillage Aurora Rural,Rua Rodrigo Barbosa N. 473
fd10eb179f724de1b63321ab7bedb680,Palácio Dourado Residences,Dist. Fábio Cunha N. 165
f34416bd3c5347aea073d09610708fbf,Magnificence Park Estates,Av. José Simões N. 71
444d9577232f49f7b3d3b914f1bc827a,Terra das Águas Claras,Al. Tomé Soares N. 217
2dd130f066ef4c8db4fef04c124c8ced,Terra das Nascentes,Estreito Tiago Costa N. 898
f0b4132657c3442f8d3bfa64e7ff9b1e,Imperial Splendor Mansions,Dist. Gonçalo Pereira N. 230
dd0d224ef8d7449e8627967cb1aacaba,EcoVillage Natureza Viva,Ladeira Filipe Tavares N. 123
962942e70c9d416bbb26394efddb1409,Sítio Aurora Campestre,Estreito Luís Gonçalves N. 889
ecdb8433396e416fac53b1ba50988c2a,Sítio Sereno,Loteamento Gustavo Cardoso N. 799
f69f44d9d0184d8c859cba657d10d35c,Vila Rural da Serenidade,Av. Joaquim Rodrigues N. 758
48be3e8fcdc84b8899838c1b8c06c4aa,Vila Rural das Nascentes,Sítio Leonardo Martins N. 208
0859524a9acd423da1e0b7ca6eb95261,Sítio Encanto Natural,Lot. Marcos Alves N. 968
b3ced23b1f9245bab968a5cd0b25fd00,Chácara Harmonia Rural,R. Otávio Martins N. 231
118a966422684062bc64aeb2c9323af0,Recanto Rural Sereno,Trevo  Frederico Gomes N. 69
a30a8a5c276646548464517d35640576,Chácara Vista Bela,Altura Tiago Rodrigues N. 977
b93aa7fc0c34409fa254587055a2aeeb,Sítio do Vale Verde,Distrito João Araújo N. 686
f8c0acc8769f482d9027d970ed8dd18b,Sítio Vista Verde,Campo Lúcia Matos N. 816
0cb1f9abc72c4be792c62d8abfe7dccc,Chácara Felicidade,Altura Carlos Antunes N. 150
b8c6fabc7bd44e2a9aeaa3fe694af834,Recanto Verdejante,Dist. Fábio Reis N. 519
b9db2702ca7846488110fd7adc68c05d,Vale do Canto dos Pássaros,Pátio Fernando Fonseca N. 439
abb2b118a1dc4acb85e861a823ca0e74,Vila Serenidade Campestre,Setor Marcos Antunes N. 898
6e5bbd5db0484093ba5e3e0c4975c750,Village Rural Harmonia,Trevo  Frederico Soares N. 761
10ef1028388b4527a6f5571f40f41604,Diamond Heights Enclave,R. Pedro Costa N. 560
