condominio_id,condominio_nome,condominio_endereco
ce54f0f6fa6b4e4ebd4b21b0b5afcb84,Vila dos Lagos,Altura Filipe Coelho N. 424
52c689715cd14a819e555823e5e51316,Luxuria Ridge Estates,Al. Manuel Fernandes N. 629
de96ed5773d74a32b94c7f8e5c0b2f10,Recanto Verde Rural,Quadra Eduardo Cunha N. 698
0f21755c775b4d12a2748e4af57b738d,Sítio Aurora,Chácara Daniel Araújo N. 636
f8a388598be5481f8f72a2982ac95269,Chácara da Paz,Rua Sérgio Nunes N. 371
7cf9fcd382d140f29eff7c1110e478fb,Diamond Ridge Residences,Estaçao Diogo Teixeira N. 838
6ca1069bc3da4e778171b070a078c0b4,EcoVillage Aurora Rural,Distrito Filipe Lourenço N. 758
25079d8a081c468db332bb61ffe0ed6b,Grandeur Park Mansions,Set. Lúcia Jesus N. 716
6dc8176345eb4eeaa3a18f7d827b6d78,Chácara Harmonia Rural,Viela Rodrigo Fernandes N. 964
f7e52ddc5d1344d1bbd92f53dde1065e,Recanto da Vida Rural,Av. José Marques N. 531
8f2af12f7999455ab193601cde9c8962,Diamond Heights Enclave,Setor Jorge Fernandes N. 886
b3c034158ebc4be1a61346232407e7ea,Village Rural Sereno,Trecho Filipe Rodrigues N. 615
d681246f5d0d49368fe5e6474c9ad01c,Recanto das Oliveiras,Sítio Leonardo Raposo N. 589
f2a1d5382cc74fdd86125565ad688555,Elite Opulence Estates,Set. Fábio Gonçalves N. 818
01ee52d15b044ed4bdef922b11c6b316,Chácara da Liberdade,Condominio Pedro Jesus N. 657
5211847840ee462cb5a29188fbc0d8ee,Grandeur Haven Estates,Colonia Henrique Fernandes N. 485
8851a6af624246359ed20c4c7291bf99,Vale do Canto dos Pássaros,R. Júlia Raposo N. 194
0ddb3cf0b67c4d639875a98b2fdd06ef,Royal Crest Enclave,Trecho Filipe Silva N. 494
ab7313d0713a45bdb081bba5b5afca6f,Vila das Colinas,Altura Afonso Gonçalves N. 367
16608faed67342b9b8360c0d21d4d3f8,Riviera Elegante Estates,Loteamento Nélson Silva N. 386
4031f6072449424889e17cb328389fc5,Royal Celestial Mansions,Al. Rodrigo Fernandes N. 326
46735a72f7014f3a9e15bf321356e52e,Terra Verde Rural,Esplanada Luís Cunha N. 457
063f16d1595c4f81aee0e3afd6efe2cc,Imperial Luxe Estates,Cond. Daniel Pires N. 960
a94be0d6a34b4bf8bc45bf16e3725f20,Vale Tranquilo,Setor Jorge Alves N. 971
cca4e71dd5a142cabdfe38a2cf470ef6,Luxuria Crest Residences,Estaçao Diogo Moreira N. 60
c95ea46dc27a4099b3a0718d34c9845a,Sítio Encanto Natural,Dist. Fábio Teixeira N. 236
d20a96f7aedf46b097d0a541bffbcc6d,Mansões Aurora,Cond. Daniel Fernandes N. 737
60e624c971924929bfdef406b6c88569,Vila dos Pássaros Livres,Setor Tomé Fonseca N. 415
c2b0b45a24d346b5bf70f22220513782,Palácio Dourado Residences,Praça Carlos Soares N. 777
345b188b3e734018a7904a6697b9a035,Recanto das Colinas,Al. Roberto Tavares N. 962
f1984103a64748e89f027b04d4b619a5,Chácara da Harmonia,Condominio Fábio Sousa N. 870
2318ae1bbb7544beb2be111ab599f54f,Sítio Encantado,Chácara Marcos Alves N. 232
43a4b734947441e8b922e5df08e6957a,Sítio Aurora Campestre,Al. Manuel Sousa N. 719
99b3c74f0de043b5bb6e8e33ca6c155f,Diamond Vale Residences,Estrada Marcos Azevedo N. 517
81d77dc0c9f44642becb81e318059192,Chácara Éden,Dist. Gonçalo Figueiredo N. 109
8820df4fd901428a8788ab76f625dfae,Vila Caminho Verde,Cond. Daniel Alves N. 316
453dd66433a84bbaaff9fb4dcd325f57,Terra do Pôr do Sol,Estrada Sebastião Alves N. 157
96147c97be92456b9f0305fd5e3b9cf7,Terra das Águas Claras,Estaçao Gustavo Fonseca N. 805
607d5749844c4843b22d49d3642eab3f,Bosque das Águas,Altura Tiago Martins N. 543
3bd1ca3611964117a6297a0543a883ce,Azure Splendor Villas,Chácara Osvaldo Azevedo N. 366
a48abe26cb4b48d09a6808d0005d70b7,Luxe Summit Residences,Passarela Alfredo Figueiredo N. 551
0aa1644a4775435d8b7215d4e8147461,Grandeur Crest Villas,Campo Lúcia Marques N. 453
f6aa6244c9704e718db95f3e2b30dc5c,Sítio Serenata Rural,Viela Sebastião Lopes N. 457
2fd9b006fa9c48ff8df319fec724ef53,Celestial Heights Villas,Ladeira Fábio Moreira N. 478
4ab32e36f3644f7395eb8f684e9b4d5f,Sítio Aurora,Viela Vítor Vieira N. 63
f47bdc69cd264f848f64e3e9b6a00cae,Recanto Rural Sereno,Distrito Alfredo Ribeiro N. 331
5b2dfacdcbf14926b726bae2e5e3bb1e,Vila Rural das Nascentes,Estrada Sebastião Azevedo N. 774
e655dbb80930451fa489fc8824e702b2,Cantinho da Natureza,Quadra Camila Vieira N. 360
386f93d44e0b4542a46a5e4a96809e89,Imperium Towers Residence,Altura Carlos Azevedo N. 530
110ff0b36aa64380bcdcc796303da36c,Terra das Colheitas,Praça Henrique Rodrigues N. 346
