imovel_id,tipo,condominio_id,valor
f92baeff49f94a4da615ad3f89b5e920,Duplex,55741f1ea669417e95ad6081f4235a95,727621
d1c86f45bba4409a8c295c59c4b879f8,Cobertura,281df7ed249d42aca30eea847c0c0b6b,776640
cd86b901ada24ebabaa70fa704b84eb7,Triplex,dcff950af89a4879bed10d037060d016,754092
4ebf6d021c7d4dbfb85b2ce8ac4caaf3,Apartamento,ac36ffb729984560afda6d73e5ba25a4,256394
266147d6279d4630abe68da3ff7f0efd,Cobertura,747fe70926124a818b517ffe106d7771,400161
afc35ddf95264fc99fdb60c121382f87,Penthouse,d10e85065fa14155bb5daa328371168f,253928
f0add874460245e9a0e22aa840fb0c8c,Sobrado,dba3d7aced334417b9918e09ca6b5e9d,679040
74757b8be1934d6a8cd13cb2ade4b202,Sobrado,74e7ba3bc60e42f395762fbc78229c41,695733
4f9bb1dee74441439f0c997dc6c1f971,Apartamento,5f7ef53658ea4380af8e31bb2a5a0b0e,283819
181fd5474bb54f67925826c11f8ee1e7,Apartamento,7cb2848532354a15947de0afa2680488,791097
e0db598969c14d00a741411b09a3fe4f,Triplex,1f06b17aa8da4fbf8e6fb11e897cbfce,650848
1e48dfb842ad408f961a5306f62817ca,Triplex,a24dc900b959449d96a95dc6ecbda098,693370
c71083d7a0c94de48f9e4ad6273102e8,Apto,4123f02bf5f943a9b637952c646c2aac,551153
cd6bb6814e564ffab8af64408b0522c1,Apto,ccca66bf49874414b954510638361181,760868
b5ae179c335d45f491190486d66344c3,Flat,93a7505b04224afc9b2a708155df3186,340584
e587bbfc0eba4300aebe4375003a813a,Sobrado,e2c7a4b43b404359bc8c5cde98c3968d,422969
127e78b513f740a9b6e0195b8aeeb7a3,Penthouse,563956464a4a40b8b0165971cdc763c4,690087
a09a7b59eaea4fb985a44bd0dda7a719,Cobertura,59769483fbb44ccb8499ec03be0f05fb,511762
80c92d6d47b048249e669ad20a01dcc8,Apto,a14e7620dd2141db89e8db7229a252a1,494141
f7d1ff4ec9f04be58dac92699bc9eb2d,Flat,9afbd9682b574029b89503fc7b94dbcb,669237
5667843da4384a6386d595a9047067fa,Mansão,82b463befc9345f89f5b8edf18219668,266555
6600939477e64da1b2cf571297032a00,Mansão,52d9bd7b2b4643bc805ae6327cf20e64,440338
e04a4ea0f42a4170b9e9c5bfb9eee547,Flat,c76367f5ff5e448aa13d11e8b2cfe133,516644
9be0282961fb4cfbaf984bc88a8ae7dc,Triplex,2ce0a6a82f3b4dcf8c41fa77c6d8acff,395459
df1461c67dc143e49e085c0fd91f4340,Cobertura,fd9cb31715de4fbd818b030ff57f6dfd,256993
d54a2da785a94baa88a52ba6387b0948,Penthouse,c66f1f3d3b3d45138142c8f785cfa585,738098
8e444d4f258b495e97b59527093a8eb7,Casa,46cc84ac3434407fa64a1ef4bf26fdf4,569663
8f1ec9a471e3427698eed8ae7e839f31,Casa,a51dcd0054cf49f3bf6a99a094e8375a,440253
e8b4fa0115844ad291be87f6e49b454c,Cobertura,11773e23d9f74ccaa2d107a911d8da2b,748946
5da0273dc0064454a8bf1e765880b90c,Cobertura,64135284d5ca4935abb808dc26041ce7,339196
e1db546dd3d44356a94feb3c1a2115b0,Duplex,fcd17d667ebb41c2a25a440e79fb66bb,412662
49870e3e8c1c4c3a9ad74b25bfb85f8c,Duplex,cb8012edd2ad4b61a04f271f78385da9,422099
d9d8f9c4941f4dfda29d57957d42909e,Cobertura,a1af61f779604e1ea742809456c34c51,472965
457f59797a5846408e9f55d27ef49ced,Apartamento,759d62a0444c4594aab82e9c9ddca299,272491
fd40da5619744e148c7d0bce8f44e392,Flat,c4434e165328461fb1674b7c2a84b7de,236840
a45e0a6eabc940afbed60a9d9026658a,Flat,53bd11abfbb24a519ff644d715c79e5c,420505
9533b9264ff2433d8a34c31bdd82c28c,Flat,501be18789974b1fa50c101f70b9b9b8,352284
94e1754aecc34135939bbac580599ae8,Sobrado,7200bd8dabe14e82abd065fbc7b8179f,521079
021c32b767794985a594d0943c5fa461,Sobrado,7b31e3f9cbfc425eb6de5ed27a636e97,411465
631735ee34754cc3a498e927cb15b42f,Cobertura,1a7b9b4245364434a3da8e0169aab197,780822
c88668ec69e54728884c2b53f82ec83c,Triplex,f0a8429348ec46f1a73abed3daa6bcfc,320912
584843b23271409294e433accf16301d,Triplex,8d63a7c33fb94d1ba7dd6c5c49c9f242,574464
8ed3ba3ea08b4444862562d5f0c77376,Cobertura,ec2fb86902ec45d6b6ad3b8ba81e74cf,201148
11447bb6434d4107a78097d2aad61d7b,Sobrado,d87003e3029743298884a03116d16dc4,299990
3cf06c9d27664dec9307a4bb8bfaea25,Penthouse,d74898f7dfc847ab94ec7b8471a37ded,408348
1dad7b4cc3d24abb8c9966a5dafd2f2e,Apartamento,e24fdde445da427a8d74e7f5b8358782,514540
eabfd4e2128e424a9afced34d7699107,Casa,0dabbc85aaa34709bbab5eafd90b7e82,565639
e90cbe7bb37f4d5495bdab1bc00c977c,Sobrado,72896379ddd64c49b11604d3e6923a05,391068
ab90aedf302248ecb3740db1219e6e9d,Apartamento,acb9e2e8853a4fa79e3ed4dce8da1d43,689502
1133f9f2efea42c7b94183de27b20990,Mansão,a6034c99a4eb455ea12ce96d84408358,235510
